player,season_end,dc_pre_recognition,dc_pre_traditional_production,dc_pre_team_achievement,dc_pre_statistical_impact,dc_pre_postseason_perf,dc_pre_prime_raw,dc_pre_prime_score,dc_pre_burden_residual,dc_pre_creation_share
Norm Nixon,1980,0.0,17.072822099259437,62.308571428571426,17.32894736842105,-5.381345341069393,10.580828257229767,34.39818513825457,0.30263250231911043,
Elvin Hayes,1980,6.4,17.76327013599824,0.0,18.912499999999998,-2.5301459540199303,11.888435853661441,36.79546573171264,-0.02555270593692026,
Bill Cartwright,1980,6.4,31.408666905631993,0.0,29.430263157894736,0.0,19.166462907325577,47.45807863415697,0.0,
Kareem Abdul-Jabbar,1980,74.0,53.28147392860267,100.0,68.09276315789474,50.90255965831534,63.72126470794777,89.43125565690299,1.2177272727272734,
Moses Malone,1980,22.298902344223787,36.23270568904718,18.288,42.49605263157895,7.714844464162746,30.467952730586024,60.46795273058602,0.610998148886829,
Jamaal Wilkes,1980,0.0,19.02682625785773,49.222857142857144,32.632894736842104,-7.7669591897202475,15.998576098095716,42.997864147143574,0.0,
Michael Ray Richardson,1980,31.200000000000003,15.707780794250745,0.0,31.899342105263155,0.0,21.78339983980853,50.729249799760666,-0.0989110157699439,
Reggie Theus,1980,0.0,27.034852255284044,0.0,24.601973684210527,0.0,15.454640402181079,42.18196060327162,1.9206700347866417,
Wes Unseld,1980,0.0,18.014907479373093,0.0,33.04276315789474,-1.9234426426064677,16.393954545792838,43.590931818689256,0.0,
Gus Williams,1980,23.61694512543493,21.37869720869018,40.28845714285714,50.392105263157895,15.964336531645397,32.38065766540175,62.38065766540175,0.33602230565862873,
Larry Bird,1980,40.287132634546666,26.556745171472663,39.10857142857143,48.872368421052634,0.62062187650831,33.14557399830914,63.14557399830914,0.5164997101113189,
Toby Knight,1980,0.0,17.2639428409562,0.0,24.023026315789473,0.0,12.789892282315089,38.184838423472634,0.0,
Dan Issel,1980,0.0,31.95281795478885,0.0,45.84473684210526,0.0,24.619187008600893,54.273983760751115,0.41777073979591767,
Dennis Johnson,1980,42.268793097885386,13.403577436183625,36.218514285714285,27.31578947368421,-11.900119951697949,20.220027845425562,48.77503480678195,-0.14683178014842294,
George Gervin,1980,40.095208585315845,44.97347982921534,0.0,47.16052631578947,5.427040224102883,36.80578416598135,67.15650718672902,2.988181818181818,
Johnny Davis,1980,0.0,9.521118311929344,0.0,8.094736842105263,0.0,5.164720559790877,24.468654359616608,-0.05879325139146566,
Otis Birdsong,1980,6.4,19.55240727767091,0.0,34.06184210526315,-1.0684753176924453,18.204640288586564,46.255800360733204,0.3633402694805203,
Tiny Archibald,1980,19.868793097885387,21.161194262718613,35.08502857142857,29.206578947368417,-3.055673981145607,19.60990879655448,48.012385995693094,0.5223426948051947,
Swen Nater,1980,5.6000000000000005,24.68828281126199,0.0,22.31907894736842,0.0,15.13896399353962,41.70844599030943,0.0,
Calvin Natt,1980,0.0,14.418007924212004,0.0,24.348684210526315,-3.5317337461300307,11.644569589781113,36.348377581265375,0.0,
Sonny Parker,1980,0.0,10.526761747953572,0.0,28.17565789473684,0.0,13.353877903578187,39.03081685536728,0.0,
Ron Brewer,1980,0.0,7.096898559674651,0.0,10.853289473684208,-3.1069218630998447,5.102971809792751,24.35544831795338,0.0,
Julius Erving,1980,34.61642305756883,42.169861009028104,65.47200000000001,65.77565789473682,17.812381743024698,45.872665565725534,76.87266556572553,3.465170314471242,
