player,season_end,old_postseason_perf,old_po_level,old_po_elevation,old_po_deep_run,old_po_responsibility,old_prime_raw,old_prime_score,old_perf_only_raw,old_performance_only
Norm Nixon,1980,-6.333393619019457,-9.163929333305171,2.830535714285714,0.0,0.57997,10.164781294146808,33.63543237260248,9.004860659226173,31.508911208581317
Elvin Hayes,1980,-3.6265281944444445,-2.8622222222222224,-0.7643059722222222,0.0,0.6832,11.834353477683727,36.696314709086835,10.40752808085833,34.08046814824027
Bill Cartwright,1980,0.0,0.0,0.0,0.0,0.0,19.166462907325577,47.45807863415697,17.77932005018272,45.66898007527408
Kareem Abdul-Jabbar,1980,59.1257868806177,48.161212145121404,5.78138392857143,5.1831908069248716,0.8996500000000001,65.10587651705309,89.96379866040503,47.61143207260866,78.61143207260866
Moses Malone,1980,12.26981676121229,11.066840768776347,1.1082663690476195,0.09470962338832281,0.8596900000000001,31.875023430703692,61.87502343070369,26.156531367211628,56.15653136721163
Jamaal Wilkes,1980,-9.120855607552116,-8.013808732552118,-1.1070468749999989,0.0,0.6598900000000001,15.928189028600263,42.892283542900394,14.754379504790741,41.131569257186115
Michael Ray Richardson,1980,0.0,0.0,0.0,0.0,0.0,21.791708365133204,50.73963545641651,15.42869249211733,42.143038738175996
Reggie Theus,1980,0.0,0.0,0.0,0.0,0.0,15.293304119259,41.9399561788885,14.864732690687571,41.297099036031355
Wes Unseld,1980,-2.6508189213620943,-2.048972254695428,-0.6018466666666666,0.0,0.55,16.263026815616826,43.39454022342524,15.862233164823174,42.79334974723476
Gus Williams,1980,21.864525087405873,18.10494964542125,3.569107142857139,0.19046829912748572,0.8463700000000001,33.691062992390606,63.691062992390606,27.62655505588267,57.62655505588267
Larry Bird,1980,0.9710401653969944,2.2019080820636603,-1.2308679166666656,0.0,0.78976,33.18993964489327,63.18993964489327,24.367177740131368,53.958972175164206
Toby Knight,1980,0.0,0.0,0.0,0.0,0.0,12.789892282315089,38.184838423472634,12.754177996600802,38.1312669949012
Dan Issel,1980,0.0,0.0,0.0,0.0,0.0,24.651294266458038,54.314117833072544,24.1631990283628,53.7039987854535
Dennis Johnson,1980,-14.0,-14.0,-2.1314218750000005,0.0,0.68986,20.455509258115153,49.06938657264394,10.700525131131029,34.61762940707355
George Gervin,1980,8.341741503141193,6.001774161726562,2.099404563492064,0.24056277792256703,1.06282,37.817821406417806,68.29504908222003,29.13337696197336,59.13337696197336
Johnny Davis,1980,0.0,0.0,0.0,0.0,0.0,5.16965919290776,24.477708520330893,5.080373478622046,24.31401804414042
Otis Birdsong,1980,-1.5599996001578802,-1.2754846001578801,-0.28451499999999996,0.0,0.8596900000000001,18.246925335106422,46.308656668883025,16.899465017646104,44.349197526469155
Tiny Archibald,1980,-4.424531449469536,-2.9543478383584247,-1.4701836111111106,0.0,0.56998,19.941328189172594,48.42666023646574,14.702058347902755,41.05308752185413
Swen Nater,1980,0.0,0.0,0.0,0.0,0.0,15.13896399353962,41.70844599030943,13.665789390365017,39.498684085547524
Calvin Natt,1980,-5.555555555555555,-3.8888888888888893,-1.6666666666666667,0.0,0.66322,11.28028166408452,35.68051638415495,11.28028166408452,35.68051638415495
Sonny Parker,1980,0.0,0.0,0.0,0.0,0.0,13.353877903578187,39.03081685536728,12.91736996707025,38.37605495060538
Ron Brewer,1980,-4.3654775,-3.2977777777777777,-1.0676997222222222,0.0,0.9196300000000002,4.876431795150723,23.940124957776327,4.828812747531676,23.852823370474738
Julius Erving,1980,19.686767529189012,20.606569726609642,-1.705859374999998,0.7860571775793694,0.8696800000000001,47.294896089305766,78.29489608930577,37.52632466073433,67.96711524332612
Mike Mitchell,1980,0.0,0.0,0.0,0.0,0.0,16.951714627607352,44.42757194141103,16.824730500623225,44.23709575093484
Larry Kenon,1980,-3.5999999999999996,-2.52,-1.08,0.0,0.7131700000000001,9.307760724253143,32.0642279944641,9.264109930602348,31.984201539437638
