player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Hot Rod Williams,52.77,elite individual peak,65.0,57.8,59.4,False
Robert Horry,52.73,elite individual peak,61.8,57.8,60.1,False
Jameer Nelson,52.67,elite individual peak,60.7,58.9,61.6,False
Dale Davis,52.61,elite individual peak,61.8,61.0,64.1,False
Jonas Valanciunas,52.58,elite individual peak,70.1,67.4,68.9,False
Kenny Smith,52.55,elite individual peak,66.5,62.7,64.4,False
Nicolas Batum,52.54,elite individual peak,63.0,57.9,59.5,False
OG Anunoby,52.49,2x All-Def,61.5,53.5,56.8,False
Otis Thorpe,52.45,elite individual peak,63.0,59.5,61.0,False
Deandre Ayton,52.44,elite individual peak,70.1,66.8,69.5,False
Jeff Ruland,52.42,elite individual peak,72.7,67.4,70.4,False
Dyson Daniels,52.39,2x All-Def,60.0,55.3,58.4,False
Eddie Johnson,52.34,elite individual peak,60.7,56.0,58.6,False
Jerry Stackhouse,52.15,elite individual peak,63.6,61.6,63.9,False
Ausar Thompson,52.15,elite individual peak,64.8,56.2,58.6,False
Muggsy Bogues,52.11,elite individual peak,63.7,62.2,63.8,False
Myles Turner,52.09,elite individual peak,58.8,55.7,57.7,False
A.C. Green,52.03,elite individual peak,58.8,57.5,60.8,False
Norm Nixon,51.97,elite individual peak,62.4,62.3,64.9,False
Zydrunas Ilgauskas,51.9,elite individual peak,63.9,59.9,62.4,False
Trevor Ariza,51.88,elite individual peak,60.5,54.2,56.5,False
James Donaldson,51.85,elite individual peak,60.5,58.6,60.6,False
Marcin Gortat,51.8,elite individual peak,64.6,60.8,62.7,False
Antoine Walker,51.76,3x All-Star,61.8,57.8,59.9,False
Reggie Lewis,51.75,elite individual peak,65.5,59.5,61.9,False
Damon Stoudamire,51.74,elite individual peak,62.9,60.8,62.0,False
Brent Barry,51.6,elite individual peak,68.9,60.1,61.1,False
Brevin Knight,51.58,elite individual peak,73.1,61.5,62.6,False
Michael Adams,51.57,elite individual peak,64.1,60.6,62.0,False
Christian Laettner,51.55,elite individual peak,63.1,58.3,60.3,False
Alvan Adams,51.38,elite individual peak,65.0,64.0,66.3,False
Derrick McKey,51.33,2x All-Def,56.6,54.0,57.2,False
Danny Ainge,51.33,elite individual peak,59.7,58.2,60.9,False
Antawn Jamison,51.31,elite individual peak,62.2,59.2,61.2,False
Raymond Felton,51.3,elite individual peak,61.5,59.4,60.6,False
Nene,51.27,elite individual peak,62.4,62.0,64.1,False
Hedo Turkoglu,51.15,elite individual peak,64.6,57.9,60.3,False
Jay Humphries,51.14,elite individual peak,64.1,60.5,62.4,False
Brian Grant,51.13,elite individual peak,61.9,57.3,59.4,False
Fred VanVleet,51.12,elite individual peak,61.5,60.6,61.7,False
Eric Snow,51.09,elite individual peak,63.9,57.5,60.5,False
Michael Finley,50.96,elite individual peak,58.6,57.5,60.0,False
Rik Smits,50.93,elite individual peak,64.1,60.4,62.6,False
Josh Hart,50.83,elite individual peak,67.8,61.8,64.5,False
Nick Anderson,50.71,elite individual peak,59.6,57.0,59.1,False
Darius Garland,50.68,elite individual peak,66.6,62.1,64.0,False
Caron Butler,50.63,elite individual peak,60.8,54.0,55.5,False
David Wesley,50.62,elite individual peak,60.3,56.8,58.5,False
Boris Diaw,50.59,elite individual peak,67.2,56.1,57.9,False
Kerry Kittles,50.54,elite individual peak,57.9,57.3,60.3,False
Ray Williams,50.22,elite individual peak,64.3,62.6,64.3,False
Toni Kukoc,50.2,elite individual peak,65.5,61.7,64.1,False
Elden Campbell,50.2,elite individual peak,59.7,55.4,57.5,False
Jason Richardson,50.17,elite individual peak,58.1,53.9,55.4,False
Manute Bol,50.07,multi DPOY top-5,55.7,53.5,56.3,False
Ty Lawson,50.05,elite individual peak,66.7,64.2,66.1,False
Tobias Harris,50.03,elite individual peak,59.4,57.6,59.6,False
Darren Collison,49.98,elite individual peak,60.6,56.4,57.7,False
Derrick Favors,49.92,elite individual peak,64.8,61.6,62.9,False
Ricky Rubio,49.87,elite individual peak,62.7,60.7,61.8,False
Allan Houston,49.82,elite individual peak,59.8,56.0,58.8,False
Jerome Kersey,49.82,elite individual peak,58.1,57.2,60.1,False
Sam Perkins,49.77,elite individual peak,56.9,54.8,57.1,False
Monta Ellis,49.69,elite individual peak,58.3,57.0,58.5,False
Jason Williams,49.61,elite individual peak,59.4,58.7,59.9,False
Oliver Miller,49.58,elite individual peak,65.3,58.8,61.0,False
George Hill,49.52,elite individual peak,61.7,55.9,58.0,False
Maurice Lucas,49.51,elite individual peak,62.3,58.9,61.0,False
Steven Adams,49.49,elite individual peak,63.1,61.5,62.7,False
CJ McCollum,49.44,elite individual peak,59.7,57.9,59.6,False
Bo Outlaw,49.44,elite individual peak,60.6,57.4,58.5,False
Dennis Schroder,49.42,elite individual peak,62.0,55.6,57.4,False
Glenn Robinson,49.31,elite individual peak,59.2,54.9,57.4,False
Jamaal Tinsley,49.29,elite individual peak,62.6,61.6,63.6,False
Vern Fleming,49.27,elite individual peak,61.6,58.6,59.7,False
Nerlens Noel,49.25,elite individual peak,62.5,62.2,63.4,False
Kristaps Porzingis,49.22,elite individual peak,61.8,58.5,60.1,False
Danny Granger,49.2,elite individual peak,58.6,56.4,57.7,False
Enes Freedom,49.05,elite individual peak,69.4,64.0,65.5,False
Danny Green,49.04,elite individual peak,58.1,56.8,59.2,False
Kevon Looney,49.02,elite individual peak,67.4,62.6,64.7,False
Mo Williams,48.98,elite individual peak,61.6,57.7,59.7,False
Daniel Gafford,48.94,elite individual peak,67.9,59.4,61.3,False
Shawn Bradley,48.93,elite individual peak,61.4,56.8,58.0,False
Mike Gminski,48.89,elite individual peak,59.3,55.2,57.0,False
Sean Elliott,48.87,elite individual peak,58.1,52.5,54.1,False
Jalen Rose,48.72,elite individual peak,59.4,57.1,59.5,False
Nic Claxton,48.68,elite individual peak,67.9,59.8,61.3,False
Dana Barros,48.67,elite individual peak,72.0,58.0,59.2,False
Shareef Abdur-Rahim,48.65,elite individual peak,58.9,57.3,58.4,False
Eric Murdock,48.61,elite individual peak,62.6,60.2,61.3,False
Greg Monroe,48.6,elite individual peak,61.1,58.9,60.1,False
Mehmet Okur,48.58,elite individual peak,59.0,57.1,59.2,False
Rick Mahorn,48.54,elite individual peak,55.0,52.4,53.9,False
Antonio Davis,48.51,elite individual peak,58.9,55.3,57.3,False
Devin Harris,48.47,elite individual peak,61.7,57.6,58.6,False
Dan Issel,48.45,elite individual peak,64.3,61.5,63.5,False
James Posey,48.43,elite individual peak,61.3,51.3,53.5,False
Mychal Thompson,48.4,elite individual peak,58.9,58.2,59.9,False
Reggie Jackson,48.37,elite individual peak,65.5,58.2,59.7,False
Aaron Gordon,48.37,elite individual peak,57.0,53.9,55.8,False
Pooh Richardson,48.31,elite individual peak,61.2,59.4,60.4,False
Quinn Buckner,48.28,3x All-Def,57.3,54.7,57.9,False
Raja Bell,48.21,2x All-Def,50.7,48.1,51.0,False
Josh Howard,48.16,elite individual peak,61.1,56.7,58.9,False
Rony Seikaly,48.1,elite individual peak,58.5,57.5,58.9,False
Kendall Gill,48.07,elite individual peak,55.4,52.6,53.8,False
Donyell Marshall,48.05,elite individual peak,59.5,56.6,57.5,False
Dave Greenwood,48.0,elite individual peak,58.4,53.8,55.0,False
Patrick Beverley,47.82,3x All-Def,54.9,47.0,48.1,False
Xavier McDaniel,47.7,elite individual peak,57.3,55.2,57.6,False
Stacey Augmon,47.62,elite individual peak,59.2,52.9,54.9,False
Ben Gordon,47.59,elite individual peak,65.0,57.9,59.6,False
Brandon Ingram,47.58,elite individual peak,56.6,53.5,54.9,False
Sedale Threatt,47.56,elite individual peak,62.7,59.2,60.9,False
Zach LaVine,47.52,elite individual peak,58.1,57.4,58.7,False
Jamaal Wilkes,47.51,elite individual peak,58.6,55.9,59.0,False
Alton Lister,47.5,elite individual peak,62.5,58.5,60.8,False
Ricky Pierce,47.47,elite individual peak,58.8,57.9,60.4,False
Bob Lanier,47.47,elite individual peak,61.6,59.3,61.9,False
Thaddeus Young,47.46,elite individual peak,54.3,52.3,53.7,False
Bill Walton,47.4,elite individual peak,65.0,58.7,60.3,False
Spud Webb,47.39,elite individual peak,61.3,52.9,53.8,False
Tom Gugliotta,47.38,elite individual peak,59.3,54.8,56.6,False
D'Angelo Russell,47.38,elite individual peak,64.6,55.8,57.5,False
Otto Porter Jr.,47.36,elite individual peak,61.2,55.4,57.0,False
Joe Ingles,47.35,elite individual peak,60.4,57.7,59.3,False
Herbert Jones,47.35,elite individual peak,51.3,49.1,51.2,False
Dee Brown,47.3,elite individual peak,61.9,56.1,57.6,False
Chris Morris,47.3,elite individual peak,59.2,53.4,54.7,False
Benoit Benjamin,47.25,elite individual peak,55.5,53.5,54.6,False
Emeka Okafor,47.22,elite individual peak,58.5,56.6,57.6,False
Cason Wallace,47.22,elite individual peak,60.3,53.7,56.4,False
Stephen Jackson,47.14,elite individual peak,52.2,48.7,50.7,False
Spencer Dinwiddie,47.06,elite individual peak,59.5,54.2,56.0,False
Greg Ballard,47.03,elite individual peak,57.7,54.3,56.2,False
Bryon Russell,47.03,elite individual peak,55.4,53.2,54.9,False
Brad Davis,47.01,elite individual peak,61.5,59.1,61.2,False
Rafer Alston,46.99,elite individual peak,56.6,55.6,57.7,False
Grant Long,46.98,elite individual peak,55.3,52.5,54.2,False
Darryl Dawkins,46.95,elite individual peak,62.5,55.0,57.4,False
Greg Anthony,46.92,elite individual peak,62.5,56.2,58.9,False
Robert Reid,46.91,elite individual peak,57.8,53.9,56.3,False
Lou Williams,46.83,elite individual peak,60.5,58.4,60.0,False
Cedric Ceballos,46.83,elite individual peak,64.2,57.1,59.5,False
Jamaal Magloire,46.83,elite individual peak,58.7,57.8,59.7,False
Matisse Thybulle,46.8,2x All-Def,56.7,53.5,56.3,False
Michael Cage,46.79,elite individual peak,58.0,54.5,56.2,False
John Salley,46.77,elite individual peak,59.7,57.4,60.7,False
T.J. Ford,46.77,elite individual peak,65.3,59.2,60.5,False
Troy Murphy,46.73,elite individual peak,60.0,56.0,56.7,False
Paolo Banchero,46.7,elite individual peak,61.0,58.9,60.7,False
Kyle Anderson,46.69,elite individual peak,60.7,56.0,57.8,False
Wesley Person,46.68,elite individual peak,59.6,52.0,53.3,False
Aaron McKie,46.68,elite individual peak,58.1,54.8,57.4,False
Brandon Jennings,46.64,elite individual peak,58.6,56.4,57.6,False
World B. Free,46.58,elite individual peak,57.1,54.1,55.1,False
Erick Dampier,46.57,elite individual peak,60.3,57.2,59.0,False
Danilo Gallinari,46.57,elite individual peak,57.7,53.2,55.0,False
Darrell Walker,46.55,elite individual peak,61.3,55.4,56.2,False
Kurt Thomas,46.53,elite individual peak,58.6,54.1,55.9,False
Mike Miller,46.52,elite individual peak,55.2,53.3,54.6,False
Kyle Korver,46.51,elite individual peak,53.4,51.3,53.4,False
Larry Nance Jr.,46.5,elite individual peak,63.4,56.8,58.9,False
Deni Avdija,46.49,elite individual peak,66.8,55.6,56.9,False
Luke Ridnour,46.42,elite individual peak,57.1,52.6,53.8,False
